Intellectual Property A,,,,
computer software,2,,,
computer software,,,,
No intellectual property rights involved,1,,,
computer software,,,,
technical secrets,3,,,
technical secrets,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
computer software,,,,
technical secrets,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
technical secrets,,,,
computer software,,,,
computer software,,,,
computer software,,,,
technical secrets,,,,
technical secrets,,,,
technical secrets,,,,
technical secrets,,,,
patent,2,,,
patent,,,,
patent,,,,
technical secrets,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
technical secrets,,,,
technical secrets,,,,
technical secrets,,,,
technical secrets,,,,
technical secrets,,,,
technical secrets,,,,
technical secrets,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
technical secrets,,,,
technical secrets,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
technical secrets,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
technical secrets,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
technical secrets,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
technical secrets,,,,
technical secrets,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
technical secrets,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
technical secrets,,,,
computer software,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
computer software,,,,
No intellectual property rights involved,,,,
No intellectual property rights involved,,,,
